character,order,speaker_name,style_name,style_id,speedScale,intonationScale,tempoDynamicsScale,pitchScale,volumeScale,prePhonemeLength,postPhonemeLength,notes
ナレーション,1,にせ,ノーマル,1937616896,0.94,0.95,0.9,-0.02,1.0,0.12,0.25,既存PVナレーション候補
ナレーション,2,Lux,ノーマル,2031733024,0.94,0.9,0.9,-0.02,1.0,0.12,0.25,落ち着き候補
ナレーション,3,fumifumi,ノーマル,606865152,0.94,0.95,0.9,-0.01,1.0,0.12,0.25,柔らかい語り候補
ナレーション,4,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.92,0.9,0.85,-0.02,1.0,0.12,0.25,ドキュメント寄り候補
ナレーション,5,阿井田 茂,Calm,1310138977,0.9,0.8,0.8,-0.03,1.0,0.12,0.25,低め男性ナレーション候補
ナレーション,6,澤原 玄二郎,far,2029042371,0.92,0.85,0.8,-0.02,1.0,0.12,0.25,遠めの語り候補
タクミ,1,Lux,ノーマル,2031733024,1.08,1.08,1.12,0.02,1.0,0.06,0.18,若い男性候補
タクミ,2,fumifumi,ノーマル,606865152,1.1,1.1,1.14,0.02,1.0,0.06,0.18,軽めの青年候補
タクミ,3,にせ,ノーマル,1937616896,1.1,1.05,1.12,0.015,1.0,0.06,0.18,ツッコミ候補
タクミ,4,中2,ノーマル,604166016,1.12,1.12,1.18,0.02,1.0,0.06,0.18,若さ強め候補
タクミ,5,らせつん,標準,893625024,1.08,1.0,1.1,0.01,1.0,0.06,0.18,やや個性あり候補
タクミ,6,阿井田 茂,Mid,1310138980,1.06,0.9,1.0,0.02,1.0,0.06,0.18,落ち着きすぎるか確認
ミナ,1,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),hutuu_hutuu,808373283,0.96,0.75,0.8,-0.02,1.0,0.08,0.2,現実20代女性の淡々候補
ミナ,2,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.96,0.75,0.8,-0.02,1.0,0.08,0.2,標準女性候補
ミナ,3,まお,おちつき,888753763,0.94,0.7,0.75,-0.02,1.0,0.08,0.2,落ち着き候補
ミナ,4,まお,ふつー,888753761,0.96,0.75,0.8,-0.015,1.0,0.08,0.2,自然候補
ミナ,5,コハク,ねむたい,1878365379,0.92,0.65,0.7,-0.02,1.0,0.08,0.2,低温候補
ミナ,6,コハク,ノーマル,1878365376,0.95,0.7,0.75,-0.02,1.0,0.08,0.2,淡々候補
ミナ,7,桜音,ノーマル,376644064,0.95,0.7,0.75,-0.02,1.0,0.08,0.2,女性候補
第十三レジ,1,にせ,ノーマル,1937616896,0.9,0.5,0.55,-0.04,1.0,0.08,0.25,無機質候補
第十三レジ,2,Lux,ノーマル,2031733024,0.9,0.45,0.5,-0.04,1.0,0.08,0.25,端末音声候補
第十三レジ,3,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.88,0.45,0.5,-0.04,1.0,0.08,0.25,匿名案内風候補
第十三レジ,4,阿井田 茂,Calm,1310138977,0.88,0.45,0.5,-0.05,1.0,0.08,0.25,低い案内音声候補
第十三レジ,5,阿井田 茂,Heavy,1310138979,0.86,0.4,0.45,-0.05,1.0,0.08,0.25,重い端末候補
第十三レジ,6,澤原 玄二郎,far,2029042371,0.88,0.45,0.5,-0.04,1.0,0.08,0.25,遠い端末候補
未来の会社員,1,阿井田 茂,Calm,1310138977,0.94,0.75,0.75,-0.03,1.0,0.08,0.22,疲れた中年候補
未来の会社員,2,阿井田 茂,Heavy,1310138979,0.92,0.75,0.75,-0.04,1.0,0.08,0.22,疲労強め候補
未来の会社員,3,阿井田 茂,Mid,1310138980,0.95,0.8,0.8,-0.03,1.0,0.08,0.22,会社員候補
未来の会社員,4,澤原 玄二郎,close,2029042369,0.95,0.8,0.85,-0.03,1.0,0.08,0.22,近い疲労感候補
未来の会社員,5,澤原 玄二郎,ノーマル,2029042368,0.95,0.8,0.85,-0.03,1.0,0.08,0.22,中年男性候補
未来の会社員,6,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.94,0.75,0.75,-0.03,1.0,0.08,0.22,疲れた説明口調候補
座木山辰哉,1,阿井田 茂,Calm,1310138977,0.92,0.7,0.72,-0.04,1.0,0.1,0.25,眠そうな常連候補
座木山辰哉,2,阿井田 茂,Heavy,1310138979,0.9,0.65,0.7,-0.05,1.0,0.1,0.25,重め常連候補
座木山辰哉,3,澤原 玄二郎,far,2029042371,0.92,0.7,0.72,-0.04,1.0,0.1,0.25,少し遠い常連候補
座木山辰哉,4,澤原 玄二郎,close,2029042369,0.92,0.7,0.72,-0.04,1.0,0.1,0.25,近め常連候補
座木山辰哉,5,猩々博士 (雑談ボイス),ノーマル,5306848,0.9,0.65,0.68,-0.04,1.0,0.1,0.25,変な常連候補
