character,order,speaker_name,style_name,style_id,speedScale,intonationScale,tempoDynamicsScale,pitchScale,volumeScale,prePhonemeLength,postPhonemeLength,notes
ナレーション,1,阿井田 茂,ノーマル,1310138976,0.92,0.85,0.85,-0.02,1.0,0.12,0.25,標準男性ナレ候補(新)
ナレーション,2,阿井田 茂,Far,1310138978,0.92,0.8,0.8,-0.02,1.0,0.12,0.25,遠景の語り候補(新)
ナレーション,3,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,中年男性ナレ候補(新)
ナレーション,4,澤原 玄二郎,close,2029042369,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,近接ナレ候補(新)
ナレーション,5,まお,おちつき,888753763,0.93,0.8,0.8,-0.02,1.0,0.12,0.25,落ち着いた女性ナレ候補(新)
ナレーション,6,コハク,ノーマル,1878365376,0.93,0.78,0.78,-0.02,1.0,0.12,0.25,低温女性ナレ候補(新)
ナレーション,7,桜音,ノーマル,376644064,0.93,0.8,0.8,-0.02,1.0,0.12,0.25,透明感ナレ候補(新)
ナレーション,8,M1,ノーマル,2051283136,0.93,0.82,0.82,-0.02,1.0,0.12,0.25,M1(男声1)をナレ枠で試す(新・指定)
ナレーション,9,M2,ノーマル,1368642336,0.93,0.82,0.82,-0.02,1.0,0.12,0.25,M2(男声2)をナレ枠で試す(新・指定)
タクミ,1,らせつん,標準２,893625030,1.08,1.05,1.12,0.015,1.0,0.06,0.18,別標準の青年候補(新)
タクミ,2,らせつん,喜び,893625025,1.1,1.12,1.16,0.02,1.0,0.06,0.18,テンション高め候補(新)
タクミ,3,らせつん,驚き,893625031,1.1,1.12,1.18,0.02,1.0,0.06,0.18,驚き強め候補(新)
タクミ,4,阿井田 茂,ノーマル,1310138976,1.06,1.0,1.08,0.015,1.0,0.06,0.18,落ち着き青年候補(新)
タクミ,5,阿井田 茂,Surprise,1310138982,1.08,1.12,1.16,0.02,1.0,0.06,0.18,驚き顔候補(新)
タクミ,6,阿井田 茂,Shout,1310138981,1.1,1.15,1.2,0.02,1.0,0.06,0.18,全力ツッコミ確認(新)
タクミ,7,ろてじん（匿名インタビュー風）,ノーマル,1805828384,1.06,1.0,1.1,0.01,1.0,0.06,0.18,飄々ツッコミ候補(新)
エリ,1,まい,ノーマル,1431611904,0.95,0.72,0.78,-0.02,1.0,0.08,0.2,新規女性・淡々候補(新)
エリ,2,花音,ノーマル,1325133120,0.95,0.72,0.78,-0.02,1.0,0.08,0.2,新規女性・落ち着き候補(新)
