deck_name,candidate_origin,route_type,proof_score,route_seed_cards,state_chain,produced_states,missing_states,required_support_roles,proof_comment,total_cost,depth
proof_based direct_attack_win #1,proof_based,direct_attack_win,89,ベイB パオパオ / 超過の守護者イカ・イカガ / グレイト“S-駆”,resource_loop(existing) -> ベイB パオパオ (board:+1 / damage_pressure:+3 / graveyard:+1 / hand:+1 / loop_output_to_win:+1 / mana:+1 / opponent_deck_pressure:+1 / repeated_attack:+1 / resource_loop:+2 / tempo:+1) -> 超過の守護者イカ・イカガ (action_window:+1 / attack_permission:-2 / board:+1 / damage_pressure:+1 / defense:+1 / loop_output_to_win:+1 / opponent_action_lock:+1 / summon_permission:+1 / tempo:+2) -> グレイト“S-駆” (damage_pressure:+4 / defense:+1 / disruption:+2 / hand:+1 / loop_output_to_win:+1 / repeated_attack:+1 / resource_loop:+1 / tempo:+1) -> direct_attack_win (action_window:+1 / attack_permission:-2 / board:+2 / damage_pressure:+8 / defense:+2 / disruption:+2 / graveyard:+1 / hand:+2 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+3 / summon_permission:+1 / tempo:+4),"{""action_window"": 1, ""attack_permission"": -2, ""board"": 2, ""damage_pressure"": 8, ""defense"": 2, ""disruption"": 2, ""graveyard"": 1, ""hand"": 2, ""loop_output_to_win"": 3, ""mana"": 1, ""opponent_action_lock"": 1, ""opponent_deck_pressure"": 1, ""repeated_attack"": 2, ""resource_loop"": 3, ""summon_permission"": 1, ""tempo"": 4}",attack_permission,打点形成,direct_attack_winへの状態変換候補です。seed=ベイB パオパオ / 超過の守護者イカ・イカガ / グレイト“S-駆”。作れている状態は action_window:+1 / attack_permission:-2 / board:+2 / damage_pressure:+8 / defense:+2 / disruption:+2 / graveyard:+1 / hand:+2 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+3 / summon_permission:+1 / tempo:+4。不足は attack_permission。次は 打点形成 を探します。,5,3
proof_based direct_attack_win #2,proof_based,direct_attack_win,89,ベイB パオパオ / 超過の守護者イカ・イカガ / D2B バブール,ベイB パオパオ (board:+1 / damage_pressure:+3 / graveyard:+1 / hand:+1 / loop_output_to_win:+1 / mana:+1 / opponent_deck_pressure:+1 / repeated_attack:+1 / resource_loop:+2 / tempo:+1) -> 超過の守護者イカ・イカガ (action_window:+1 / attack_permission:-2 / board:+1 / damage_pressure:+1 / defense:+1 / loop_output_to_win:+1 / opponent_action_lock:+1 / summon_permission:+1 / tempo:+2) -> D2B バブール (board:+1 / damage_pressure:+3 / graveyard:+1 / hand:+1 / loop_output_to_win:+1 / opponent_deck_pressure:+1 / repeated_attack:+1) -> direct_attack_win (action_window:+1 / attack_permission:-2 / board:+3 / damage_pressure:+7 / defense:+1 / graveyard:+2 / hand:+2 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+2 / repeated_attack:+2 / resource_loop:+2 / summon_permission:+1 / tempo:+3),"{""action_window"": 1, ""attack_permission"": -2, ""board"": 3, ""damage_pressure"": 7, ""defense"": 1, ""graveyard"": 2, ""hand"": 2, ""loop_output_to_win"": 3, ""mana"": 1, ""opponent_action_lock"": 1, ""opponent_deck_pressure"": 2, ""repeated_attack"": 2, ""resource_loop"": 2, ""summon_permission"": 1, ""tempo"": 3}",attack_permission,打点形成,direct_attack_winへの状態変換候補です。seed=ベイB パオパオ / 超過の守護者イカ・イカガ / D2B バブール。作れている状態は action_window:+1 / attack_permission:-2 / board:+3 / damage_pressure:+7 / defense:+1 / graveyard:+2 / hand:+2 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+2 / repeated_attack:+2 / resource_loop:+2 / summon_permission:+1 / tempo:+3。不足は attack_permission。次は 打点形成 を探します。,5,3
proof_based direct_attack_win #3,proof_based,direct_attack_win,89,ベイB パオパオ / 超過の守護者イカ・イカガ / 天斬の悪魔龍 ジュランデス,resource_loop(existing) -> ベイB パオパオ (board:+1 / damage_pressure:+3 / graveyard:+1 / hand:+1 / loop_output_to_win:+1 / mana:+1 / opponent_deck_pressure:+1 / repeated_attack:+1 / resource_loop:+2 / tempo:+1) -> 超過の守護者イカ・イカガ (action_window:+1 / attack_permission:-2 / board:+1 / damage_pressure:+1 / defense:+1 / loop_output_to_win:+1 / opponent_action_lock:+1 / summon_permission:+1 / tempo:+2) -> 天斬の悪魔龍 ジュランデス (board:+1 / damage_pressure:+3 / disruption:+3 / loop_output_to_win:+1 / repeated_attack:+1 / resource_loop:+2 / zone_change_permission:+1) -> direct_attack_win (action_window:+1 / attack_permission:-2 / board:+3 / damage_pressure:+7 / defense:+1 / disruption:+3 / graveyard:+1 / hand:+1 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+4 / summon_permission:+1 / tempo:+3 / zone_change_permission:+1),"{""action_window"": 1, ""attack_permission"": -2, ""board"": 3, ""damage_pressure"": 7, ""defense"": 1, ""disruption"": 3, ""graveyard"": 1, ""hand"": 1, ""loop_output_to_win"": 3, ""mana"": 1, ""opponent_action_lock"": 1, ""opponent_deck_pressure"": 1, ""repeated_attack"": 2, ""resource_loop"": 4, ""summon_permission"": 1, ""tempo"": 3, ""zone_change_permission"": 1}",attack_permission,打点形成,direct_attack_winへの状態変換候補です。seed=ベイB パオパオ / 超過の守護者イカ・イカガ / 天斬の悪魔龍 ジュランデス。作れている状態は action_window:+1 / attack_permission:-2 / board:+3 / damage_pressure:+7 / defense:+1 / disruption:+3 / graveyard:+1 / hand:+1 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+4 / summon_permission:+1 / tempo:+3 / zone_change_permission:+1。不足は attack_permission。次は 打点形成 を探します。,5,3
proof_based direct_attack_win #4,proof_based,direct_attack_win,89,ベイB パオパオ / 超過の守護者イカ・イカガ / ベイB ポレポレ,resource_loop(existing) -> ベイB パオパオ (board:+1 / damage_pressure:+3 / graveyard:+1 / hand:+1 / loop_output_to_win:+1 / mana:+1 / opponent_deck_pressure:+1 / repeated_attack:+1 / resource_loop:+2 / tempo:+1) -> 超過の守護者イカ・イカガ (action_window:+1 / attack_permission:-2 / board:+1 / damage_pressure:+1 / defense:+1 / loop_output_to_win:+1 / opponent_action_lock:+1 / summon_permission:+1 / tempo:+2) -> ベイB ポレポレ (board:+1 / damage_pressure:+3 / hand:+1 / loop_output_to_win:+1 / repeated_attack:+1 / resource_loop:+2) -> direct_attack_win (action_window:+1 / attack_permission:-2 / board:+3 / damage_pressure:+7 / defense:+1 / graveyard:+1 / hand:+2 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+4 / summon_permission:+1 / tempo:+3),"{""action_window"": 1, ""attack_permission"": -2, ""board"": 3, ""damage_pressure"": 7, ""defense"": 1, ""graveyard"": 1, ""hand"": 2, ""loop_output_to_win"": 3, ""mana"": 1, ""opponent_action_lock"": 1, ""opponent_deck_pressure"": 1, ""repeated_attack"": 2, ""resource_loop"": 4, ""summon_permission"": 1, ""tempo"": 3}",attack_permission,打点形成,direct_attack_winへの状態変換候補です。seed=ベイB パオパオ / 超過の守護者イカ・イカガ / ベイB ポレポレ。作れている状態は action_window:+1 / attack_permission:-2 / board:+3 / damage_pressure:+7 / defense:+1 / graveyard:+1 / hand:+2 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+4 / summon_permission:+1 / tempo:+3。不足は attack_permission。次は 打点形成 を探します。,5,3
proof_based direct_attack_win #5,proof_based,direct_attack_win,89,ベイB パオパオ / 超過の守護者イカ・イカガ / ベイB ソーター,resource_loop(existing) -> ベイB パオパオ (board:+1 / damage_pressure:+3 / graveyard:+1 / hand:+1 / loop_output_to_win:+1 / mana:+1 / opponent_deck_pressure:+1 / repeated_attack:+1 / resource_loop:+2 / tempo:+1) -> 超過の守護者イカ・イカガ (action_window:+1 / attack_permission:-2 / board:+1 / damage_pressure:+1 / defense:+1 / loop_output_to_win:+1 / opponent_action_lock:+1 / summon_permission:+1 / tempo:+2) -> ベイB ソーター (board:+1 / damage_pressure:+3 / hand:+1 / loop_output_to_win:+1 / repeated_attack:+1 / resource_loop:+2) -> direct_attack_win (action_window:+1 / attack_permission:-2 / board:+3 / damage_pressure:+7 / defense:+1 / graveyard:+1 / hand:+2 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+4 / summon_permission:+1 / tempo:+3),"{""action_window"": 1, ""attack_permission"": -2, ""board"": 3, ""damage_pressure"": 7, ""defense"": 1, ""graveyard"": 1, ""hand"": 2, ""loop_output_to_win"": 3, ""mana"": 1, ""opponent_action_lock"": 1, ""opponent_deck_pressure"": 1, ""repeated_attack"": 2, ""resource_loop"": 4, ""summon_permission"": 1, ""tempo"": 3}",attack_permission,打点形成,direct_attack_winへの状態変換候補です。seed=ベイB パオパオ / 超過の守護者イカ・イカガ / ベイB ソーター。作れている状態は action_window:+1 / attack_permission:-2 / board:+3 / damage_pressure:+7 / defense:+1 / graveyard:+1 / hand:+2 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+4 / summon_permission:+1 / tempo:+3。不足は attack_permission。次は 打点形成 を探します。,5,3
proof_based direct_attack_win #6,proof_based,direct_attack_win,89,ベイB パオパオ / 超過の守護者イカ・イカガ / ベイB クッジャ,resource_loop(existing) -> ベイB パオパオ (board:+1 / damage_pressure:+3 / graveyard:+1 / hand:+1 / loop_output_to_win:+1 / mana:+1 / opponent_deck_pressure:+1 / repeated_attack:+1 / resource_loop:+2 / tempo:+1) -> 超過の守護者イカ・イカガ (action_window:+1 / attack_permission:-2 / board:+1 / damage_pressure:+1 / defense:+1 / loop_output_to_win:+1 / opponent_action_lock:+1 / summon_permission:+1 / tempo:+2) -> ベイB クッジャ (board:+1 / damage_pressure:+3 / hand:+1 / loop_output_to_win:+1 / repeated_attack:+1 / resource_loop:+2) -> direct_attack_win (action_window:+1 / attack_permission:-2 / board:+3 / damage_pressure:+7 / defense:+1 / graveyard:+1 / hand:+2 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+4 / summon_permission:+1 / tempo:+3),"{""action_window"": 1, ""attack_permission"": -2, ""board"": 3, ""damage_pressure"": 7, ""defense"": 1, ""graveyard"": 1, ""hand"": 2, ""loop_output_to_win"": 3, ""mana"": 1, ""opponent_action_lock"": 1, ""opponent_deck_pressure"": 1, ""repeated_attack"": 2, ""resource_loop"": 4, ""summon_permission"": 1, ""tempo"": 3}",attack_permission,打点形成,direct_attack_winへの状態変換候補です。seed=ベイB パオパオ / 超過の守護者イカ・イカガ / ベイB クッジャ。作れている状態は action_window:+1 / attack_permission:-2 / board:+3 / damage_pressure:+7 / defense:+1 / graveyard:+1 / hand:+2 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+4 / summon_permission:+1 / tempo:+3。不足は attack_permission。次は 打点形成 を探します。,5,3
proof_based direct_attack_win #7,proof_based,direct_attack_win,89,ベイB パオパオ / 超過の守護者イカ・イカガ / 赤攻銀 カ・ダブラ,ベイB パオパオ (board:+1 / damage_pressure:+3 / graveyard:+1 / hand:+1 / loop_output_to_win:+1 / mana:+1 / opponent_deck_pressure:+1 / repeated_attack:+1 / resource_loop:+2 / tempo:+1) -> 超過の守護者イカ・イカガ (action_window:+1 / attack_permission:-2 / board:+1 / damage_pressure:+1 / defense:+1 / loop_output_to_win:+1 / opponent_action_lock:+1 / summon_permission:+1 / tempo:+2) -> 赤攻銀 カ・ダブラ (board:+1 / damage_pressure:+3 / loop_output_to_win:+1 / repeated_attack:+1) -> direct_attack_win (action_window:+1 / attack_permission:-2 / board:+3 / damage_pressure:+7 / defense:+1 / graveyard:+1 / hand:+1 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+2 / summon_permission:+1 / tempo:+3),"{""action_window"": 1, ""attack_permission"": -2, ""board"": 3, ""damage_pressure"": 7, ""defense"": 1, ""graveyard"": 1, ""hand"": 1, ""loop_output_to_win"": 3, ""mana"": 1, ""opponent_action_lock"": 1, ""opponent_deck_pressure"": 1, ""repeated_attack"": 2, ""resource_loop"": 2, ""summon_permission"": 1, ""tempo"": 3}",attack_permission,打点形成,direct_attack_winへの状態変換候補です。seed=ベイB パオパオ / 超過の守護者イカ・イカガ / 赤攻銀 カ・ダブラ。作れている状態は action_window:+1 / attack_permission:-2 / board:+3 / damage_pressure:+7 / defense:+1 / graveyard:+1 / hand:+1 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+2 / summon_permission:+1 / tempo:+3。不足は attack_permission。次は 打点形成 を探します。,5,3
proof_based direct_attack_win #8,proof_based,direct_attack_win,89,ベイB パオパオ / 超過の守護者イカ・イカガ / ブルース・ガー,ベイB パオパオ (board:+1 / damage_pressure:+3 / graveyard:+1 / hand:+1 / loop_output_to_win:+1 / mana:+1 / opponent_deck_pressure:+1 / repeated_attack:+1 / resource_loop:+2 / tempo:+1) -> 超過の守護者イカ・イカガ (action_window:+1 / attack_permission:-2 / board:+1 / damage_pressure:+1 / defense:+1 / loop_output_to_win:+1 / opponent_action_lock:+1 / summon_permission:+1 / tempo:+2) -> ブルース・ガー (damage_pressure:+2 / loop_output_to_win:+1 / repeated_attack:+1) -> direct_attack_win (action_window:+1 / attack_permission:-2 / board:+2 / damage_pressure:+6 / defense:+1 / graveyard:+1 / hand:+1 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+2 / summon_permission:+1 / tempo:+3),"{""action_window"": 1, ""attack_permission"": -2, ""board"": 2, ""damage_pressure"": 6, ""defense"": 1, ""graveyard"": 1, ""hand"": 1, ""loop_output_to_win"": 3, ""mana"": 1, ""opponent_action_lock"": 1, ""opponent_deck_pressure"": 1, ""repeated_attack"": 2, ""resource_loop"": 2, ""summon_permission"": 1, ""tempo"": 3}",attack_permission,打点形成,direct_attack_winへの状態変換候補です。seed=ベイB パオパオ / 超過の守護者イカ・イカガ / ブルース・ガー。作れている状態は action_window:+1 / attack_permission:-2 / board:+2 / damage_pressure:+6 / defense:+1 / graveyard:+1 / hand:+1 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+2 / summon_permission:+1 / tempo:+3。不足は attack_permission。次は 打点形成 を探します。,5,3
proof_based direct_attack_win #9,proof_based,direct_attack_win,89,ベイB パオパオ / 超過の守護者イカ・イカガ / 界王類七動目 ジュランネル,ベイB パオパオ (board:+1 / damage_pressure:+3 / graveyard:+1 / hand:+1 / loop_output_to_win:+1 / mana:+1 / opponent_deck_pressure:+1 / repeated_attack:+1 / resource_loop:+2 / tempo:+1) -> 超過の守護者イカ・イカガ (action_window:+1 / attack_permission:-2 / board:+1 / damage_pressure:+1 / defense:+1 / loop_output_to_win:+1 / opponent_action_lock:+1 / summon_permission:+1 / tempo:+2) -> 界王類七動目 ジュランネル (damage_pressure:+2 / loop_output_to_win:+1 / repeated_attack:+1) -> direct_attack_win (action_window:+1 / attack_permission:-2 / board:+2 / damage_pressure:+6 / defense:+1 / graveyard:+1 / hand:+1 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+2 / summon_permission:+1 / tempo:+3),"{""action_window"": 1, ""attack_permission"": -2, ""board"": 2, ""damage_pressure"": 6, ""defense"": 1, ""graveyard"": 1, ""hand"": 1, ""loop_output_to_win"": 3, ""mana"": 1, ""opponent_action_lock"": 1, ""opponent_deck_pressure"": 1, ""repeated_attack"": 2, ""resource_loop"": 2, ""summon_permission"": 1, ""tempo"": 3}",attack_permission,打点形成,direct_attack_winへの状態変換候補です。seed=ベイB パオパオ / 超過の守護者イカ・イカガ / 界王類七動目 ジュランネル。作れている状態は action_window:+1 / attack_permission:-2 / board:+2 / damage_pressure:+6 / defense:+1 / graveyard:+1 / hand:+1 / loop_output_to_win:+3 / mana:+1 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+2 / summon_permission:+1 / tempo:+3。不足は attack_permission。次は 打点形成 を探します。,5,3
proof_based direct_attack_win #10,proof_based,direct_attack_win,89,D2B バブール / 超過の守護者イカ・イカガ / グレイト“S-駆”,resource_loop(existing) -> D2B バブール (board:+1 / damage_pressure:+3 / graveyard:+1 / hand:+1 / loop_output_to_win:+1 / opponent_deck_pressure:+1 / repeated_attack:+1) -> 超過の守護者イカ・イカガ (action_window:+1 / attack_permission:-2 / board:+1 / damage_pressure:+1 / defense:+1 / loop_output_to_win:+1 / opponent_action_lock:+1 / summon_permission:+1 / tempo:+2) -> グレイト“S-駆” (damage_pressure:+4 / defense:+1 / disruption:+2 / hand:+1 / loop_output_to_win:+1 / repeated_attack:+1 / resource_loop:+1 / tempo:+1) -> direct_attack_win (action_window:+1 / attack_permission:-2 / board:+2 / damage_pressure:+8 / defense:+2 / disruption:+2 / graveyard:+1 / hand:+2 / loop_output_to_win:+3 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+1 / summon_permission:+1 / tempo:+3),"{""action_window"": 1, ""attack_permission"": -2, ""board"": 2, ""damage_pressure"": 8, ""defense"": 2, ""disruption"": 2, ""graveyard"": 1, ""hand"": 2, ""loop_output_to_win"": 3, ""opponent_action_lock"": 1, ""opponent_deck_pressure"": 1, ""repeated_attack"": 2, ""resource_loop"": 1, ""summon_permission"": 1, ""tempo"": 3}",attack_permission,打点形成,direct_attack_winへの状態変換候補です。seed=D2B バブール / 超過の守護者イカ・イカガ / グレイト“S-駆”。作れている状態は action_window:+1 / attack_permission:-2 / board:+2 / damage_pressure:+8 / defense:+2 / disruption:+2 / graveyard:+1 / hand:+2 / loop_output_to_win:+3 / opponent_action_lock:+1 / opponent_deck_pressure:+1 / repeated_attack:+2 / resource_loop:+1 / summon_permission:+1 / tempo:+3。不足は attack_permission。次は 打点形成 を探します。,5,3
